trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6517,False,"{'a': 0.1, 'e': 0.0004019029143919834}",30,16,28.202155654505123,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6518,False,"{'a': 0.1, 'e': 0.00040142092014909807}",20,8,21.81131631311273,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6519,False,"{'a': 0.1, 'e': 0.0004009395039524071}",25,3,36.249859143404315,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6520,False,"{'a': 0.1, 'e': 0.00040045866510867112}",25,18,15.411575010248642,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6521,False,"{'a': 0.1, 'e': 0.00039997840292548209}",30,13,32.09318855018317,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6522,False,"{'a': 0.1, 'e': 0.00039949871671126242}",25,15,19.20821103327294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6523,False,"{'a': 0.1, 'e': 0.0003990196057752638}",30,11,37.06463470670219,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6524,False,"{'a': 0.1, 'e': 0.00039854106942756648}",20,2,30.524377262121522,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6525,False,"{'a': 0.1, 'e': 0.00039806310697907798}",20,0,35.16625004151928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6526,False,"{'a': 0.1, 'e': 0.00039758571774153233}",30,17,23.693966294254263,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6527,False,"{'a': 0.1, 'e': 0.00039710890102748891}",25,13,23.581873888722406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6528,False,"{'a': 0.1, 'e': 0.00039663265615033161}",25,11,25.817233098445854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6529,False,"{'a': 0.1, 'e': 0.00039615698242426769}",25,19,9.829180228407907,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6530,False,"{'a': 0.1, 'e': 0.00039568187916432695}",20,12,14.01832009839093,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6531,False,"{'a': 0.1, 'e': 0.00039520734568636057}",20,8,22.192426756400714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6532,False,"{'a': 0.1, 'e': 0.00039473338130704028}",20,5,30.038026601663812,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6533,False,"{'a': 0.1, 'e': 0.00039425998534385728}",30,18,22.68216406673259,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6534,False,"{'a': 0.1, 'e': 0.0003937871571151213}",20,6,25.205645569049025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6535,False,"{'a': 0.1, 'e': 0.00039331489593995961}",20,8,24.46317604637315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6536,False,"{'a': 0.1, 'e': 0.00039284320113831605}",25,17,12.700005201293697,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6537,False,"{'a': 0.1, 'e': 0.00039237207203094999}",25,13,19.42927753303701,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6538,False,"{'a': 0.1, 'e': 0.00039190150793943547}",25,9,26.599307474026368,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6539,False,"{'a': 0.1, 'e': 0.00039143150818616006}",25,11,27.52482152622619,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6540,False,"{'a': 0.1, 'e': 0.00039096207209432412}",20,8,21.119298878019624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6541,False,"{'a': 0.1, 'e': 0.00039049319898793952}",25,20,8.812577857750453,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6542,False,"{'a': 0.1, 'e': 0.00039002488819182894}",20,16,8.97523091054047,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6543,False,"{'a': 0.1, 'e': 0.00038955713903162477}",25,20,10.963957777385207,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6544,False,"{'a': 0.1, 'e': 0.00038908995083376813}",20,11,17.19854105465799,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6545,False,"{'a': 0.1, 'e': 0.00038862332292550789}",25,10,26.499234492582218,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6546,False,"{'a': 0.1, 'e': 0.00038815725463489984}",30,10,36.963633212509684,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6547,False,"{'a': 0.1, 'e': 0.00038769174529080554}",20,12,15.04588860307124,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6548,False,"{'a': 0.1, 'e': 0.00038722679422289146}",30,13,35.60645283705053,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6549,False,"{'a': 0.1, 'e': 0.00038676240076162795}",20,6,28.063277615013124,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6550,False,"{'a': 0.1, 'e': 0.0003862985642382884}",20,9,16.435883542666513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6551,False,"{'a': 0.1, 'e': 0.00038583528398494809}",20,6,23.173781575691024,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6552,False,"{'a': 0.1, 'e': 0.00038537255933448339}",20,0,30.581149757107656,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6553,False,"{'a': 0.1, 'e': 0.00038491038962057075}",20,0,30.40423955754136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6554,False,"{'a': 0.1, 'e': 0.00038444877417768568}",20,16,7.441486067291694,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6555,False,"{'a': 0.1, 'e': 0.00038398771234110182}",30,19,22.56090889433933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6556,False,"{'a': 0.1, 'e': 0.00038352720344689007}",20,8,24.674508013070444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6557,False,"{'a': 0.1, 'e': 0.0003830672468319176}",30,20,19.045559472890588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6558,False,"{'a': 0.1, 'e': 0.00038260784183384675}",20,13,15.691176330532183,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6559,False,"{'a': 0.1, 'e': 0.00038214898779113428}",25,3,37.84129188743708,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6560,False,"{'a': 0.1, 'e': 0.00038169068404303024}",25,0,36.35511382196533,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6561,False,"{'a': 0.1, 'e': 0.00038123292992957715}",25,15,20.224369998364548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6562,False,"{'a': 0.1, 'e': 0.00038077572479160908}",20,8,24.537608204961323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6563,False,"{'a': 0.1, 'e': 0.0003803190679707505}",30,22,14.853718946211513,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
